epochs,degree,training_time,training_error_km_min,training_error_km_mean,test_error_min,test_error_mean
1,1,0.6871802806854248,0.07290969789028168,0.0735785961151123,0.1454000025987625,0.1315000057220459
1,2,0.7711353302001953,0.036120399832725525,0.04080267623066902,0.08820000290870667,0.08869999647140503
1,3,0.6715295314788818,0.020066889002919197,0.025418059900403023,0.08169999718666077,0.08299999684095383
1,4,0.7706527709960938,0.0260869562625885,0.021404681727290154,0.08110000193119049,0.0820000022649765
1,5,0.6751992702484131,0.0260869562625885,0.032107021659612656,0.08669999986886978,0.08889999985694885
1,6,0.7318806648254395,0.03344481438398361,0.03678929805755615,0.09449999779462814,0.09390000253915787
2,1,1.3038177490234375,0.058193981647491455,0.0568561889231205,0.1306000053882599,0.12120000272989273
2,2,1.400827407836914,0.012709029950201511,0.020735785365104675,0.0812000036239624,0.07540000230073929
2,3,1.3221526145935059,0.005351170431822538,0.010033444501459599,0.06849999725818634,0.0697999969124794
2,4,1.309840202331543,0.006688963156193495,0.008695651777088642,0.06530000269412994,0.06530000269412994
2,5,1.3491249084472656,0.011371237225830555,0.014046822674572468,0.07500000298023224,0.07129999995231628
2,6,1.341522455215454,0.00936454813927412,0.014715719036757946,0.07079999893903732,0.07450000196695328
3,1,1.9816606044769287,0.04949832707643509,0.047491639852523804,0.12680000066757202,0.11760000139474869
3,2,1.8785505294799805,0.008695651777088642,0.01337792631238699,0.07660000026226044,0.06939999759197235
3,3,1.9482495784759521,0.002006688853725791,0.00468227406963706,0.066600002348423,0.06379999965429306
3,4,1.9170918464660645,0.0033444815780967474,0.006688963156193495,0.062199998646974564,0.05999999865889549
3,5,1.852402925491333,0.0033444815780967474,0.007357859518378973,0.06809999793767929,0.0658000037074089
3,6,1.8395400047302246,0.002675585215911269,0.011371237225830555,0.06809999793767929,0.06830000132322311
4,1,2.5515291690826416,0.039464883506298065,0.04147157073020935,0.12700000405311584,0.1151999980211258
4,2,2.46699857711792,0.00468227406963706,0.008026755414903164,0.07190000265836716,0.06909999996423721
4,3,2.504775047302246,0.002006688853725791,0.0033444815780967474,0.06669999659061432,0.06069999933242798
4,4,2.490225076675415,0.0006688963039778173,0.002675585215911269,0.058400001376867294,0.05719999969005585
4,5,2.546903610229492,0.0,0.0033444815780967474,0.06589999794960022,0.06499999761581421
4,6,2.451608180999756,0.002006688853725791,0.006688963156193495,0.06639999896287918,0.066600002348423
5,1,3.2039828300476074,0.03411371260881424,0.03879598528146744,0.1290999948978424,0.11490000039339066
