epochs,degree,training_time,training_error,training_error_km,test_error
1,1,0.08340597152709961,0.45428332686424255,0.27835050225257874,0.2662000060081482
1,2,0.06464314460754395,0.368066668510437,0.1494845300912857,0.22609999775886536
1,3,0.06245279312133789,0.33024999499320984,0.13917525112628937,0.21449999511241913
1,4,0.06464695930480957,0.3201499879360199,0.11340206116437912,0.20739999413490295
1,5,0.06321859359741211,0.3191833198070526,0.12371134012937546,0.2361000031232834
1,6,0.06327128410339355,0.3190000057220459,0.1494845300912857,0.2240999937057495
2,1,0.15724802017211914,0.4345833361148834,0.2525773048400879,0.2703000009059906
2,2,0.1647813320159912,0.31788334250450134,0.10824742168188095,0.1834000051021576
2,3,0.12614130973815918,0.275299996137619,0.07216494530439377,0.17059999704360962
2,4,0.12741851806640625,0.272350013256073,0.0670103058218956,0.15800000727176666
2,5,0.1291522979736328,0.25886666774749756,0.010309278033673763,0.17260000109672546
2,6,0.13240957260131836,0.26758334040641785,0.05154639109969139,0.1868000030517578
3,1,0.20511603355407715,0.4498833417892456,0.2989690601825714,0.30329999327659607
3,2,0.19571137428283691,0.3046500086784363,0.08762886375188828,0.17509999871253967
3,3,0.20020627975463867,0.24683333933353424,0.015463917516171932,0.16949999332427979
3,4,0.1968066692352295,0.24071666598320007,0.020618556067347527,0.15520000457763672
3,5,0.1894526481628418,0.24241666495800018,0.015463917516171932,0.15539999306201935
3,6,0.20983076095581055,0.242616668343544,0.030927835032343864,0.1606999933719635
4,1,0.2535533905029297,0.4272666573524475,0.24742268025875092,0.2660999894142151
4,2,0.24881553649902344,0.28619998693466187,0.04123711213469505,0.17219999432563782
4,3,0.24922657012939453,0.2360333353281021,0.010309278033673763,0.15780000388622284
4,4,0.24986529350280762,0.22949999570846558,0.010309278033673763,0.1477999985218048
4,5,0.25220227241516113,0.23701666295528412,0.010309278033673763,0.1459999978542328
4,6,0.2533879280090332,0.23713333904743195,0.015463917516171932,0.1590999960899353
5,1,0.31375694274902344,0.42258334159851074,0.24226804077625275,0.2703000009059906
5,2,0.31204843521118164,0.2806166708469391,0.04123711213469505,0.17489999532699585
5,3,0.31325340270996094,0.23010000586509705,0.010309278033673763,0.14890000224113464
5,4,0.3426167964935303,0.22983333468437195,0.005154639016836882,0.15360000729560852
5,5,0.3107423782348633,0.23624999821186066,0.010309278033673763,0.1468999981880188
5,6,0.3143496513366699,0.2384166717529297,0.015463917516171932,0.15970000624656677
6,1,0.4117443561553955,0.41306665539741516,0.2010309249162674,0.265500009059906
6,2,0.412233829498291,0.2687000036239624,0.025773195549845695,0.16110000014305115
6,3,0.3843564987182617,0.23260000348091125,0.015463917516171932,0.16120000183582306
6,4,0.40313029289245605,0.22708334028720856,0.005154639016836882,0.15049999952316284
6,5,0.3951089382171631,0.23488333821296692,0.010309278033673763,0.15070000290870667
6,6,0.38275694847106934,0.23855000734329224,0.015463917516171932,0.1597999930381775
7,1,0.4336669445037842,0.38993334770202637,0.14432989060878754,0.2337999939918518
7,2,0.4414536952972412,0.27106666564941406,0.010309278033673763,0.16740000247955322
7,3,0.43651795387268066,0.23536667227745056,0.010309278033673763,0.15399999916553497
7,4,0.4367697238922119,0.226950004696846,0.0,0.15049999952316284
7,5,0.44223618507385254,0.23458333313465118,0.010309278033673763,0.15070000290870667
7,6,0.43782496452331543,0.23613333702087402,0.010309278033673763,0.15880000591278076
8,1,0.5368351936340332,0.3919833302497864,0.12371134012937546,0.2459000051021576
8,2,0.4987516403198242,0.2711666524410248,0.010309278033673763,0.16899999976158142
8,3,0.5000720024108887,0.2329166680574417,0.010309278033673763,0.15199999511241913
8,4,0.4990665912628174,0.226950004696846,0.0,0.15049999952316284
8,5,0.5067136287689209,0.2344333380460739,0.010309278033673763,0.15070000290870667
8,6,0.5053198337554932,0.23498333990573883,0.010309278033673763,0.15680000185966492
9,1,0.5826537609100342,0.3789333403110504,0.07731958478689194,0.21549999713897705
9,2,0.6118905544281006,0.27086666226387024,0.010309278033673763,0.16910000145435333
9,3,0.5969724655151367,0.2339833378791809,0.010309278033673763,0.15289999544620514
9,4,0.5632596015930176,0.226950004696846,0.0,0.15049999952316284
9,5,0.5739505290985107,0.23323333263397217,0.010309278033673763,0.14820000529289246
9,6,0.5816092491149902,0.2350499927997589,0.010309278033673763,0.15770000219345093
10,1,0.6509158611297607,0.38271665573120117,0.11855670064687729,0.2410999983549118
10,2,0.6687839031219482,0.2701333463191986,0.005154639016836882,0.17219999432563782
10,3,0.6434166431427002,0.2345000058412552,0.010309278033673763,0.14489999413490295
10,4,0.6444973945617676,0.226950004696846,0.0,0.15049999952316284
10,5,0.6451058387756348,0.23283334076404572,0.010309278033673763,0.14820000529289246
10,6,0.6341819763183594,0.23471666872501373,0.010309278033673763,0.15760000050067902
