epochs,degree,training_time,training_error,test_error
1,1,0.13634848594665527,0.9003984332084656,0.8991000056266785
1,2,0.1311345100402832,0.8844621777534485,0.8827999830245972
1,3,0.12930631637573242,0.8326693177223206,0.8080000281333923
1,4,0.13498163223266602,0.7689242959022522,0.7590000033378601
1,5,0.1314530372619629,0.7051792740821838,0.6929000020027161
1,6,0.12999773025512695,0.6215139627456665,0.6137999892234802
2,1,0.2300553321838379,0.8764940500259399,0.8603000044822693
2,2,0.24225997924804688,0.7649402618408203,0.756600022315979
2,3,0.2385396957397461,0.6972111463546753,0.6812000274658203
2,4,0.22820067405700684,0.4183267056941986,0.4562000036239624
2,5,0.21962881088256836,0.4063745141029358,0.4392000138759613
2,6,0.23671579360961914,0.2788844704627991,0.3540000021457672
3,1,0.3473811149597168,0.7091633677482605,0.6862000226974487
3,2,0.3134298324584961,0.4342629611492157,0.4668000042438507
3,3,0.32206201553344727,0.3904382586479187,0.4212999939918518
3,4,0.32655906677246094,0.15139442682266235,0.25270000100135803
3,5,0.310413122177124,0.05976095795631409,0.16840000450611115
3,6,0.3281378746032715,0.087649405002594,0.1858000010251999
4,1,0.4230375289916992,0.7609561681747437,0.7702000141143799
4,2,0.4453921318054199,0.4342629611492157,0.45159998536109924
4,3,0.3987696170806885,0.21912351250648499,0.2831000089645386
4,4,0.39776086807250977,0.05179283022880554,0.1485999971628189
4,5,0.411651611328125,0.039840638637542725,0.1429000049829483
4,6,0.3990201950073242,0.007968127727508545,0.1298999935388565
5,1,0.5164766311645508,0.7689242959022522,0.7512000203132629
5,2,0.49861979484558105,0.2470119595527649,0.29980000853538513
5,3,0.5077381134033203,0.043824702501297,0.16419999301433563
5,4,0.48358845710754395,0.06374502182006836,0.17100000381469727
5,5,0.48186826705932617,0.055776894092559814,0.15559999644756317
5,6,0.4807772636413574,0.0,0.1290999948978424
6,1,0.5869524478912354,0.6414342522621155,0.6071000099182129
6,2,0.5605967044830322,0.20717132091522217,0.2671999931335449
6,3,0.558556318283081,0.06374502182006836,0.17020000517368317
6,4,0.5394778251647949,0.0039840638637542725,0.13050000369548798
6,5,0.4979712963104248,0.0,0.11150000244379044
6,6,0.515498161315918,0.0,0.1256999969482422
7,1,0.6865189075469971,0.4342629611492157,0.477400004863739
7,2,0.6433560848236084,0.07968127727508545,0.20890000462532043
7,3,0.6167140007019043,0.0039840638637542725,0.12729999423027039
7,4,0.5954864025115967,0.0039840638637542725,0.12790000438690186
7,5,0.5537381172180176,0.0,0.10610000044107437
7,6,0.5094470977783203,0.0,0.1256999969482422
8,1,0.7879788875579834,0.45816734433174133,0.4916999936103821
8,2,0.7654891014099121,0.07968127727508545,0.21330000460147858
8,3,0.726442813873291,0.0,0.13109999895095825
8,4,0.624596357345581,0.0,0.11389999836683273
8,5,0.5667421817779541,0.0,0.10610000044107437
8,6,0.5454380512237549,0.0,0.1256999969482422
9,1,0.8826947212219238,0.22310757637023926,0.32989999651908875
9,2,0.8078489303588867,0.039840638637542725,0.16349999606609344
9,3,0.6741995811462402,0.01593625545501709,0.13770000636577606
9,4,0.6266582012176514,0.0,0.11389999836683273
9,5,0.579395055770874,0.0,0.10610000044107437
9,6,0.5054447650909424,0.0,0.1256999969482422
10,1,0.9416320323944092,0.3147410452365875,0.36890000104904175
10,2,0.8146827220916748,0.04780876636505127,0.17170000076293945
10,3,0.6894633769989014,0.0,0.11569999903440475
10,4,0.624514102935791,0.0,0.11389999836683273
10,5,0.5587642192840576,0.0,0.10610000044107437
10,6,0.527371883392334,0.0,0.1256999969482422
