epochs,degree,training_time,training_error,test_error
1,1,7.8358142375946045,0.14910000562667847,0.12200000137090683
1,2,7.851600646972656,0.055799998342990875,0.054999999701976776
1,3,8.117235898971558,0.0348999984562397,0.052000001072883606
1,4,8.186750650405884,0.023600000888109207,0.04800000041723251
1,5,8.068129777908325,0.021199999377131462,0.05700000002980232
1,6,8.43637204170227,0.01899999938905239,0.04600000008940697
2,1,15.673035144805908,0.16140000522136688,0.1599999964237213
2,2,15.34681510925293,0.03539999946951866,0.054999999701976776
2,3,15.223189115524292,0.011599999852478504,0.0430000014603138
2,4,14.889469385147095,0.004699999932199717,0.03400000184774399
2,5,14.937500238418579,0.003800000064074993,0.039000000804662704
2,6,15.237351894378662,0.006099999882280827,0.03099999949336052
3,1,23.409520149230957,0.11720000207424164,0.11800000071525574
3,2,22.56809663772583,0.018300000578165054,0.041999999433755875
3,3,22.07366967201233,0.004399999976158142,0.03799999877810478
3,4,21.70101308822632,0.00279999990016222,0.03500000014901161
3,5,23.665136098861694,0.000699999975040555,0.032999999821186066
3,6,22.580666542053223,0.000699999975040555,0.032999999821186066
4,1,29.3378689289093,0.13169999420642853,0.12700000405311584
4,2,29.01976704597473,0.010599999688565731,0.04399999976158142
4,3,28.592323064804077,0.002400000113993883,0.03500000014901161
4,4,28.776103258132935,0.00019999999494757503,0.03099999949336052
4,5,28.631772994995117,0.00019999999494757503,0.03099999949336052
4,6,28.32725715637207,0.0003000000142492354,0.03500000014901161
5,1,35.49971532821655,0.11190000176429749,0.11299999803304672
5,2,35.44486045837402,0.008700000122189522,0.04600000008940697
5,3,35.45172619819641,0.0005000000237487257,0.03099999949336052
5,4,35.68794822692871,9.999999747378752e-05,0.029999999329447746
5,5,36.20804023742676,0.00039999998989515007,0.03200000151991844
5,6,35.07612633705139,9.999999747378752e-05,0.03200000151991844
6,1,41.42629051208496,0.1615999937057495,0.15800000727176666
6,2,41.398847341537476,0.002400000113993883,0.032999999821186066
6,3,41.5137460231781,0.00039999998989515007,0.032999999821186066
6,4,41.52564811706543,0.0,0.03500000014901161
6,5,40.65041637420654,0.0,0.03200000151991844
6,6,40.30509805679321,9.999999747378752e-05,0.03200000151991844
7,1,49.816649436950684,0.09529999643564224,0.10100000351667404
7,2,49.19237160682678,0.003000000026077032,0.03099999949336052
7,3,49.209537982940674,0.0005000000237487257,0.029999999329447746
7,4,47.26133751869202,0.0,0.03099999949336052
7,5,42.646862268447876,0.0,0.032999999821186066
7,6,43.66917657852173,0.0,0.03200000151991844
8,1,58.521199464797974,0.09960000216960907,0.11100000143051147
8,2,61.558122396469116,0.0019000000320374966,0.032999999821186066
8,3,58.11496162414551,0.00019999999494757503,0.02800000086426735
8,4,48.36335492134094,0.0,0.03099999949336052
8,5,43.34082627296448,0.0,0.03200000151991844
8,6,44.41100859642029,0.0,0.03200000151991844
9,1,74.8724319934845,0.08829999715089798,0.09600000083446503
9,2,73.79943943023682,0.0012000000569969416,0.03500000014901161
9,3,69.49366402626038,0.0,0.028999999165534973
9,4,57.66856360435486,0.0,0.03099999949336052
9,5,51.71580982208252,0.00019999999494757503,0.032999999821186066
9,6,49.022143602371216,0.0,0.03200000151991844
10,1,81.06151962280273,0.11330000311136246,0.11999999731779099
10,2,83.68076968193054,0.0006000000284984708,0.03099999949336052
10,3,73.41427636146545,9.999999747378752e-05,0.028999999165534973
10,4,63.63060116767883,0.0,0.03099999949336052
10,5,56.22596001625061,0.0,0.03200000151991844
10,6,52.08207726478577,0.0,0.03200000151991844
