epochs,degree,training_time,training_error,test_error
1,1,0.01999378204345703,0.699999988079071,0.6924999952316284
1,2,0.019438982009887695,0.5,0.48510000109672546
1,3,0.012230396270751953,0.3499999940395355,0.39899998903274536
1,4,0.011310100555419922,0.25,0.34150001406669617
1,5,0.01125955581665039,0.30000001192092896,0.3580999970436096
1,6,0.010931253433227539,0.20000000298023224,0.3382999897003174
2,1,0.019779443740844727,0.3499999940395355,0.45890000462532043
2,2,0.02140212059020996,0.20000000298023224,0.3763999938964844
2,3,0.020050525665283203,0.20000000298023224,0.33970001339912415
2,4,0.018976926803588867,0.0,0.249099999666214
2,5,0.021196365356445312,0.0,0.24560000002384186
2,6,0.02035665512084961,0.0,0.25690001249313354
3,1,0.02688455581665039,0.30000001192092896,0.3953999876976013
3,2,0.02503657341003418,0.05000000074505806,0.29510000348091125
3,3,0.024870634078979492,0.05000000074505806,0.2676999866962433
3,4,0.025723695755004883,0.0,0.23399999737739563
3,5,0.025158405303955078,0.0,0.24300000071525574
3,6,0.024005889892578125,0.0,0.25690001249313354
4,1,0.03041553497314453,0.25,0.3910999894142151
4,2,0.028781890869140625,0.05000000074505806,0.2612000107765198
4,3,0.029288291931152344,0.0,0.2547999918460846
4,4,0.028460264205932617,0.0,0.23399999737739563
4,5,0.025887012481689453,0.0,0.24300000071525574
4,6,0.024428129196166992,0.0,0.25690001249313354
5,1,0.03406214714050293,0.3499999940395355,0.4648999869823456
5,2,0.03054022789001465,0.0,0.2540000081062317
5,3,0.030190706253051758,0.0,0.2547999918460846
5,4,0.028592824935913086,0.0,0.23399999737739563
5,5,0.028684616088867188,0.0,0.24300000071525574
5,6,0.02351546287536621,0.0,0.25690001249313354
6,1,0.038065433502197266,0.0,0.28679999709129333
6,2,0.031276702880859375,0.0,0.2540000081062317
6,3,0.029230356216430664,0.0,0.2547999918460846
6,4,0.028601408004760742,0.0,0.23399999737739563
6,5,0.02667689323425293,0.0,0.24300000071525574
6,6,0.0235750675201416,0.0,0.25690001249313354
7,1,0.0388941764831543,0.05000000074505806,0.3027999997138977
7,2,0.03128504753112793,0.0,0.2540000081062317
7,3,0.030596494674682617,0.0,0.2547999918460846
7,4,0.028026580810546875,0.0,0.23399999737739563
7,5,0.026711463928222656,0.0,0.24300000071525574
7,6,0.023772478103637695,0.0,0.25690001249313354
8,1,0.04024386405944824,0.05000000074505806,0.33379998803138733
8,2,0.03127908706665039,0.0,0.2540000081062317
8,3,0.03016495704650879,0.0,0.2547999918460846
8,4,0.028002023696899414,0.0,0.23399999737739563
8,5,0.026024818420410156,0.0,0.24300000071525574
8,6,0.024104833602905273,0.0,0.25690001249313354
9,1,0.04228973388671875,0.0,0.275299996137619
9,2,0.030931711196899414,0.0,0.2540000081062317
9,3,0.030708789825439453,0.0,0.2547999918460846
9,4,0.028275728225708008,0.0,0.23399999737739563
9,5,0.026989459991455078,0.0,0.24300000071525574
9,6,0.023194074630737305,0.0,0.25690001249313354
10,1,0.04328131675720215,0.0,0.27970001101493835
10,2,0.03129220008850098,0.0,0.2540000081062317
10,3,0.02985835075378418,0.0,0.2547999918460846
10,4,0.027729511260986328,0.0,0.23399999737739563
10,5,0.02681589126586914,0.0,0.24300000071525574
10,6,0.02434062957763672,0.0,0.25690001249313354
