epochs,degree,training_time,training_error,test_error
1,1,0.024079561233520508,0.6000000238418579,0.6607999801635742
1,2,0.019680023193359375,0.3499999940395355,0.4934000074863434
1,3,0.01113271713256836,0.25,0.3919000029563904
1,4,0.012255430221557617,0.3499999940395355,0.4287000000476837
1,5,0.012351512908935547,0.15000000596046448,0.3483999967575073
1,6,0.012872934341430664,0.15000000596046448,0.3271999955177307
2,1,0.0217440128326416,0.550000011920929,0.5516999959945679
2,2,0.01871323585510254,0.3499999940395355,0.4122999906539917
2,3,0.021083354949951172,0.25,0.38440001010894775
2,4,0.02070307731628418,0.05000000074505806,0.28110000491142273
2,5,0.020429134368896484,0.0,0.2581000030040741
2,6,0.020453214645385742,0.0,0.2574999928474426
3,1,0.027612686157226562,0.30000001192092896,0.44209998846054077
3,2,0.026160240173339844,0.15000000596046448,0.31859999895095825
3,3,0.0237579345703125,0.05000000074505806,0.30219998955726624
3,4,0.0281827449798584,0.0,0.25929999351501465
3,5,0.025502443313598633,0.0,0.25060001015663147
3,6,0.024852275848388672,0.0,0.23980000615119934
4,1,0.03428053855895996,0.25,0.35580000281333923
4,2,0.03040480613708496,0.0,0.2705000042915344
4,3,0.028688669204711914,0.0,0.2759999930858612
4,4,0.02908635139465332,0.0,0.25929999351501465
4,5,0.026669740676879883,0.0,0.25060001015663147
4,6,0.0250856876373291,0.0,0.23980000615119934
5,1,0.04010653495788574,0.30000001192092896,0.35749998688697815
5,2,0.03342771530151367,0.10000000149011612,0.28130000829696655
5,3,0.028682947158813477,0.0,0.2759999930858612
5,4,0.028145790100097656,0.0,0.25929999351501465
5,5,0.026401758193969727,0.0,0.25060001015663147
5,6,0.024792194366455078,0.0,0.23980000615119934
6,1,0.042713165283203125,0.10000000149011612,0.32739999890327454
6,2,0.03349614143371582,0.0,0.26739999651908875
6,3,0.029221296310424805,0.0,0.2759999930858612
6,4,0.030403852462768555,0.0,0.25929999351501465
6,5,0.026633262634277344,0.0,0.25060001015663147
6,6,0.025514602661132812,0.0,0.23980000615119934
7,1,0.04541349411010742,0.10000000149011612,0.31220000982284546
7,2,0.034911155700683594,0.0,0.2623000144958496
7,3,0.02907848358154297,0.0,0.2759999930858612
7,4,0.02903151512145996,0.0,0.25929999351501465
7,5,0.02605152130126953,0.0,0.25060001015663147
7,6,0.02541041374206543,0.0,0.23980000615119934
8,1,0.04675436019897461,0.0,0.28220000863075256
8,2,0.03488016128540039,0.0,0.2623000144958496
8,3,0.028591632843017578,0.0,0.2759999930858612
8,4,0.0283205509185791,0.0,0.25929999351501465
8,5,0.026806354522705078,0.0,0.25060001015663147
8,6,0.025279521942138672,0.0,0.23980000615119934
9,1,0.051201820373535156,0.0,0.28220000863075256
9,2,0.03559756278991699,0.0,0.2623000144958496
9,3,0.03085947036743164,0.0,0.2759999930858612
9,4,0.028042078018188477,0.0,0.25929999351501465
9,5,0.025689125061035156,0.0,0.25060001015663147
9,6,0.024646759033203125,0.0,0.23980000615119934
10,1,0.04964447021484375,0.0,0.28220000863075256
10,2,0.036087989807128906,0.0,0.2623000144958496
10,3,0.02916240692138672,0.0,0.2759999930858612
10,4,0.029185771942138672,0.0,0.25929999351501465
10,5,0.025678157806396484,0.0,0.25060001015663147
10,6,0.024382591247558594,0.0,0.23980000615119934
